Branch_ID,Branch_NM,Country_Name,,Last_History_Date
BR0001,AC Cars Motors, Afghanistan,,01/07/2018
BR0011,Acura Motors, Akrotiri and Dhekelia (UK),,02/07/2018
BR0021,Aixam-Mega (including Arola) Motors, Åland Islands (Finland),,03/07/2018
BR0031,Alfa Romeo Motors, Albania,,04/07/2018
BR0041,Alpine Motors, Algeria,,05/07/2018
BR0051,Alvis Motors, American Samoa (US),,06/07/2018
BR0061,"AMC, Eagle Motors", Andorra,,07/07/2018
BR0071,Anadol Motors, Angola,,08/07/2018
BR0081,Ariel Motors, Anguilla (UK),,09/07/2018
BR0091,ARO Motors, Antigua and Barbuda,,10/07/2018
BR0101,Artega Motors, Argentina,,11/07/2018
BR0111,Asia Motors Motors, Armenia,,12/07/2018
BR0121,Aston Martin Motors, Artsakh,,13/07/2018
BR0131,Audi Motors, Aruba (Netherlands),,14/07/2018
BR0141,Autobianchi Motors, Australia,,15/07/2018
BR0151,Auto-Union Motors, Austria,,16/07/2018
BR0161,Auverland Motors, Azerbaijan,,17/07/2018
BR0171,Bentley Motors, Bahamas,,18/07/2018
BR0181,Bitter Motors, Bahrain,,19/07/2018
BR0191,BMW Motors, Bangladesh,,20/07/2018
BR0201,Bond Motors, Barbados,,21/07/2018
BR0211,Borgward (including Goliath and Lloyd) Motors, Belarus,,22/07/2018
BR0221,Bristol Motors, Belgium,,23/07/2018
BR0231,British Leyland Motors, Belize,,24/07/2018
BR0241,Austin-Healey Motors, Benin,,25/07/2018
BR0251,"Austin, Rover Motors", Bermuda (UK),,26/07/2018
BR0261,Bugatti Motors, Bhutan,,27/07/2018
BR0271,Buick Motors, Bolivia,,28/07/2018
BR0281,Bytom Motors, Bosnia and Herzegovina,,29/07/2018
BR0291,Cadillac Motors, Botswana,,30/07/2018
BR0301,Caterham Motors, Brazil,,31/07/2018
BR0311,Checker Motors, Brunei,,01/08/2018
BR0321,Chevrolet Motors, Bulgaria,,02/08/2018
BR0331,Chevrolet India Motors, Burkina Faso,,03/08/2018
BR0341,Chrysler Motors, Burundi,,04/08/2018
BR0351,Chrysler Europe Motors, Cambodia,,05/08/2018
BR0361,Citroën Motors, Cameroon,,06/08/2018
BR0371,Cizeta-Moroder Motors, Canada,,07/08/2018
BR0381,Dacia Motors, Cape Verde,,08/08/2018
BR0391,"Daewoo, Saehan, Chevrolet Korea Motors", Cayman Islands (UK),,09/08/2018
BR0401,DAF Motors, Central African Republic,,10/08/2018
BR0411,Daihatsu Motors, Chad,,11/08/2018
BR0421,Daimler Motors, Chile,,12/08/2018
BR0431,Datsun Motors," China, People's Republic of",,13/08/2018
BR0441,Delahaye Motors, Christmas Island (Australia),,14/08/2018
BR0451,DeLorean Motors, Cocos (Keeling) Islands (Australia),,15/08/2018
BR0461,DeSoto Motors, Colombia,,16/08/2018
BR0471,De Tomaso Motors, Comoros,,17/08/2018
BR0481,Dodge Motors," Congo, Democratic Republic of the",,18/08/2018
BR0491,Donkervoort Motors," Congo, Republic of the",,19/08/2018
BR0501,Edsel Motors, Cook Islands (New Zealand),,20/08/2018
BR0511,e.GO Mobile Motors, Costa Rica,,21/08/2018
BR0521,Eicher Polaris Motors, Côte d'Ivoire,,22/08/2018
BR0531,Elva Motors, Croatia,,23/08/2018
BR0541,Facel Vega Motors, Cuba,,24/08/2018
BR0551,Ferrari Motors, Curaçao (Netherlands),,25/08/2018
BR0561,Fiat Motors, Cyprus,,26/08/2018
BR0571,Fiat do Brasil Motors, Czech Republic,,27/08/2018
BR0581,Fiat India Motors, Denmark,,28/08/2018
BR0591,"Fisker, Karma Motors", Djibouti,,29/08/2018
BR0601,Ford America Motors, Dominica,,30/08/2018
BR0611,Ford Australia Motors, Dominican Republic,,31/08/2018
BR0621,Ford do Brasil Motors, East Timor,,01/09/2018
BR0631,Ford Europe Motors, Ecuador,,02/09/2018
BR0641,Ford India Motors, Egypt,,03/09/2018
BR0651,Freightliner Motors, El Salvador,,04/09/2018
BR0661,FSO Motors, Equatorial Guinea,,05/09/2018
BR0671,GAZ Motors, Eritrea,,06/09/2018
BR0681,Geo Motors, Estonia,,07/09/2018
BR0691,Gilbern Motors, Eswatini,,08/09/2018
BR0701,Ginetta Motors, Ethiopia,,09/09/2018
BR0711,Glas Motors, Falkland Islands (UK),,10/09/2018
BR0721,GMC Motors, Faroe Islands (Denmark),,11/09/2018
BR0731,GTA Spano Motors, Fiji,,12/09/2018
BR0741,Gumpert Motors, Finland,,13/09/2018
BR0751,Healey Motors, France,,14/09/2018
BR0761,Heinkel Motors, French Guiana (France),,15/09/2018
BR0771,Hennessey Motors, French Polynesia (France),,16/09/2018
BR0781,Hillman Motors, Gabon,,17/09/2018
BR0791,Hindustan Motors," Gambia, The",,18/09/2018
BR0801,Holden Motors, Georgia,,19/09/2018
BR0811,Honda Motors, Germany,,20/09/2018
BR0821,Honda India Motors, Ghana,,21/09/2018
BR0831,Hudson Motors, Gibraltar (UK),,22/09/2018
BR0841,Humber Motors, Greece,,23/09/2018
BR0851,Hummer Motors, Greenland (Denmark),,24/09/2018
BR0861,Hyundai Motors, Grenada,,25/09/2018
BR0871,"IFA (including Trabant, Wartburg, Barkas) Motors", Guam (US),,26/09/2018
BR0881,Infiniti Motors, Guatemala,,27/09/2018
BR0891,Innocenti Motors, Guernsey (UK),,28/09/2018
BR0901,Invicta Motors, Guinea,,29/09/2018
BR0911,Isdera Motors, Guinea-Bissau,,30/09/2018
BR0921,Iso Motors, Guyana,,01/10/2018
BR0931,Isotta Fraschini Motors, Haiti,,02/10/2018
BR0941,Isuzu Motors, Honduras,,03/10/2018
BR0951,Iveco Motors, Hungary,,04/10/2018
BR0961,Jaguar Motors, Iceland,,05/10/2018
BR0971,Jeep Motors, India,,06/10/2018
BR0981,Jensen Motors, Indonesia,,07/10/2018
BR0991,JPX Motors, Iran,,08/10/2018
BR1001,Kia Motors, Iraq,,09/10/2018
BR1011,Koenigsegg Motors, Ireland,,10/10/2018
BR1021,KTM Motors, Isle of Man (UK),,11/10/2018
BR1031,Lada Motors, Israel,,12/10/2018
BR1041,Lamborghini Motors, Italy,,13/10/2018
BR1051,Lancia Motors, Jamaica,,14/10/2018
BR1061,Land Rover Motors, Japan,,15/10/2018
BR1071,Lexus Motors, Jersey (UK),,16/10/2018
BR1081,Ligier Motors, Jordan,,17/10/2018
BR1091,Lincoln Motors, Kazakhstan,,18/10/2018
BR1101,Lotus Motors, Kenya,,19/10/2018
BR1111,LTI Motors, Kiribati,,20/10/2018
BR1121,LuAZ Motors," Korea, North",,21/10/2018
BR1131,Lynx Motors," Korea, South",,22/10/2018
BR1141,Mahindra Motors, Kosovo,,23/10/2018
BR1151,Marcos Motors, Kuwait,,24/10/2018
BR1161,Marlin Motors, Kyrgyzstan,,25/10/2018
BR1171,Maruti Motors, Laos,,26/10/2018
BR1181,Maserati Motors, Latvia,,27/10/2018
BR1191,Mastretta Motors, Lebanon,,28/10/2018
BR1201,"Matra (including Deutsch-Bonnet, René Bonnet) Motors", Lesotho,,29/10/2018
BR1211,Mazda Motors, Liberia,,30/10/2018
BR1221,Mazzanti Motors, Libya,,31/10/2018
BR1231,McLaren Motors, Liechtenstein,,01/11/2018
BR1241,Mercedes-Benz (including Maybach) Motors, Lithuania,,02/11/2018
BR1251,Mercury Motors, Luxembourg,,03/11/2018
BR1261,Merkur Motors, Madagascar,,04/11/2018
BR1271,Messerschmitt Motors, Malawi,,05/11/2018
BR1281,Mia Motors, Malaysia,,06/11/2018
BR1291,Micro Motors, Maldives,,07/11/2018
BR1301,Mini Motors, Mali,,08/11/2018
BR1311,Mitsubishi Motors, Malta,,09/11/2018
BR1321,Monica Motors, Marshall Islands,,10/11/2018
BR1331,Monteverdi Motors, Mauritania,,11/11/2018
BR1341,Morgan Motors, Mauritius,,12/11/2018
BR1351,Moskwitch Motors, Mayotte (France),,13/11/2018
BR1361,Nash Motors, Mexico,,14/11/2018
BR1371,Naza Motors, Federated States of Micronesia,,15/11/2018
BR1381,Nissan Motors, Moldova,,16/11/2018
BR1391,Nissan India Motors, Monaco,,17/11/2018
BR1401,Noble Motors, Mongolia,,18/11/2018
BR1411,NSU Motors, Montenegro,,19/11/2018
BR1421,Oldsmobile Motors, Montserrat (UK),,20/11/2018
BR1431,Oltcit Motors, Morocco,,21/11/2018
BR1441,Opel Motors, Mozambique,,22/11/2018
BR1451,Packard Motors, Myanmar,,23/11/2018
BR1461,Pagani Motors, Namibia,,24/11/2018
BR1471,Panhard Motors, Nauru,,25/11/2018
BR1481,Panoz Motors,   Nepal,,26/11/2018
BR1491,Panther Motors, Netherlands,,27/11/2018
BR1501,Peel Motors, New Caledonia (France),,28/11/2018
BR1511,Perodua Motors, New Zealand,,29/11/2018
BR1521,Peugeot Motors, Nicaragua,,30/11/2018
BR1531,PGO Motors, Niger,,01/12/2018
BR1541,Piaggio Motors, Nigeria,,02/12/2018
BR1551,Plymouth Motors, Niue (New Zealand),,03/12/2018
BR1561,Polestar Motors, Norfolk Island (Australia),,04/12/2018
BR1571,"Pontiac, Asüna Motors", North Macedonia,,05/12/2018
BR1581,Porsche Motors, Northern Cyprus,,06/12/2018
BR1591,Premier Motors, Northern Mariana Islands (US),,07/12/2018
BR1601,Proton Motors, Norway,,08/12/2018
BR1611,Puma Motors, Oman,,09/12/2018
BR1621,Ranger Motors, Pakistan,,10/12/2018
BR1631,Reliant Motors, Palau,,11/12/2018
BR1641,Renault Motors, State of Palestine,,12/12/2018
BR1651,Rivian Motors, Panama,,13/12/2018
BR1661,Rolls-Royce Motors, Papua New Guinea,,14/12/2018
BR1671,Saab Motors, Paraguay,,15/12/2018
BR1681,SAIC Motor Motors, Peru,,16/12/2018
BR1691,Saleen Motors, Philippines,,17/12/2018
BR1701,Samsung Motors, Pitcairn Islands (UK),,18/12/2018
BR1711,San Motors, Poland,,19/12/2018
BR1721,Santa Matilde Motors, Portugal,,20/12/2018
BR1731,Santana Motors, Puerto Rico (US),,21/12/2018
BR1741,Saturn Motors, Qatar,,22/12/2018
BR1751,Scion Motors, Romania,,23/12/2018
BR1761,Seat Motors, Russia,,24/12/2018
BR1771,Shelby SuperCars Motors, Rwanda,,25/12/2018
BR1781,Simca Motors, Saint Barthélemy (France),,26/12/2018
BR1791,Simca do Brasil Motors, Saint Helena (UK),,27/12/2018
BR1801,Singer Motors, Saint Kitts and Nevis,,28/12/2018
BR1811,Skoda Motors, Saint Lucia,,29/12/2018
BR1821,Smart Motors, Saint Martin (France),,30/12/2018
BR1831,Spyker Motors, Saint Pierre and Miquelon (France),,31/12/2018
BR1841,SsangYong Motors, Saint Vincent and the Grenadines,,01/01/2019
BR1851,Standard-Triumph Motors, Samoa,,02/01/2019
BR1861,Studebaker Motors, San Marino,,03/01/2019
BR1871,Subaru Motors, São Tomé and Príncipe,,04/01/2019
BR1881,Sunbeam Motors, Saudi Arabia,,05/01/2019
BR1891,Suzuki Motors, Senegal,,06/01/2019
BR1901,Tata Motors, Serbia,,07/01/2019
BR1911,Tatra Motors, Seychelles,,08/01/2019
BR1921,Tazzari Motors, Sierra Leone,,09/01/2019
BR1931,Tesla Motors, Singapore,,10/01/2019
BR1941,Tornado Motors, Sint Maarten (Netherlands),,11/01/2019
BR1951,Toyota Motors, Slovakia,,12/01/2019
BR1961,Toyota India Motors, Slovenia,,13/01/2019
BR1971,Turner Motors, Solomon Islands,,14/01/2019
BR1981,TVR Motors, Somalia,,15/01/2019
BR1991,UAZ Motors, Somaliland,,16/01/2019
BR2001,Vauxhall Motors, South Africa,,17/01/2019
BR2011,Venturi Motors, South Georgia and the South Sandwich Islands (UK),,18/01/2019
BR2021,Volkswagen Motors, South Ossetia,,19/01/2019
BR2031,Volkswagen do Brasil Motors, South Sudan,,20/01/2019
BR2041,Volkswagen South Africa Motors, Spain,,21/01/2019
BR2051,Volvo Motors, Sri Lanka,,22/01/2019
BR2061,Westfield Motors, Sudan,,23/01/2019
BR2071,Wiesmann Motors, Suriname,,24/01/2019
BR2081,Zastava Motors, Svalbard and Jan Mayen (Norway),,25/01/2019
BR2091,ZAZ Motors, Sweden,,26/01/2019
BR2101,ZIL Motors,  Switzerland,,27/01/2019
BR2111,Audi Motors, Syria,,28/01/2019
BR2121,DKW Motors, Taiwan,,29/01/2019
BR2131,Horch Motors, Tajikistan,,30/01/2019
BR2141,Wanderer Motors, Tanzania,,31/01/2019
BR2151,Maybach  Motors, Thailand,,01/02/2019
BR2161,Izh  Motors, Togo,,02/02/2019
BR2171,Lagonda  Motors, Tokelau (New Zealand),,03/02/2019
BR2181,MG  Motors, Tonga,,04/02/2019
