Product_ID,Product_Name,Model_ID,Model_Name,Last_History_Date
BMW,BMW,BMW-M1,X3,01/07/2024
BMW,BMW,BMW-M2,X4,02/07/2024
BMW,BMW,BMW-M3,X5,03/07/2024
BMW,BMW,BMW-M4,X6,04/07/2024
BMW,BMW,BMW-M5,X7,05/07/2024
Mer,Mercedes-Benz,Mer-M6,C-Class,06/07/2024
Mer,Mercedes-Benz,Mer-M7,GLE-Class,07/07/2024
Mer,Mercedes-Benz,Mer-M8,GLS-Class,08/07/2024
Dod,Dodge,Dod-M9,Durango,09/07/2024
Jee,Jeep,Jee-M10,Cherokee,10/07/2024
Jee,Jeep,Jee-M11,Gladiator,11/07/2024
Jee,Jeep,Jee-M12,Grand Cherokee,12/07/2024
Jee,Jeep,Jee-M13,Wrangler,13/07/2024
Ram,Ram,Ram-M14,1500,14/07/2024
Ram,Ram,Ram-M15,1500 Classic,15/07/2024
For,Ford,For-M16,Bronco,16/07/2024
For,Ford,For-M17,Escape,17/07/2024
For,Ford,For-M18,Expedition,18/07/2024
For,Ford,For-M19,Expedition MAX,19/07/2024
For,Ford,For-M20,Explorer,20/07/2024
For,Ford,For-M21,F-150,21/07/2024
For,Ford,For-M22,,22/07/2024
For,Ford,For-M23,Mustang,23/07/2024
For,Ford,For-M24,Ranger,24/07/2024
For,Ford,For-M25,Super Duty,25/07/2024
For,Ford,For-M26,Transit,26/07/2024
Lin,Lincoln,Lin-M27,Aviator,27/07/2024
Lin,Lincoln,Lin-M28,Continental,28/07/2024
Lin,Lincoln,Lin-M29,Corsair,29/07/2024
Lin,Lincoln,Lin-M30,Navigator,30/07/2024
Bui,Buick,Bui-M31,Enclave,31/07/2024
Cad,Cadillac,Cad-M32,CT4,01/08/2024
Cad,Cadillac,Cad-M33,CT5,02/08/2024
Cad,Cadillac,Cad-M34,CT6,03/08/2024
Cad,Cadillac,Cad-M35,Escalade,04/08/2024
Cad,Cadillac,Cad-M36,Escalade ESV,05/08/2024
Cad,Cadillac,Cad-M37,XT4,06/08/2024
Cad,Cadillac,Cad-M38,XT5,07/08/2024
Cad,Cadillac,Cad-M39,XT6,08/08/2024
Che,Chevrolet,Che-M40,Bolt,09/08/2024
Che,Chevrolet,Che-M41,Camaro,10/08/2024
Che,Chevrolet,Che-M42,Colorado,11/08/2024
Che,Chevrolet,Che-M43,Corvette,12/08/2024
Che,Chevrolet,Che-M44,Express,13/08/2024
Che,Chevrolet,Che-M45,Malibu,14/08/2024
Che,Chevrolet,Che-M46,Silverado,15/08/2024
Che,Chevrolet,Che-M47,,16/08/2024
Che,Chevrolet,Che-M48,Sonic,17/08/2024
Che,Chevrolet,Che-M49,Suburban,18/08/2024
Che,Chevrolet,Che-M50,Tahoe,19/08/2024
Che,Chevrolet,Che-M51,Traverse,20/08/2024
GMC,GMC,GMC-M52,Acadia,21/08/2024
GMC,GMC,GMC-M53,Canyon,22/08/2024
GMC,GMC,GMC-M54,Savana,23/08/2024
GMC,GMC,GMC-M55,Sierra,24/08/2024
GMC,GMC,GMC-M56,,25/08/2024
GMC,GMC,GMC-M57,Yukon,26/08/2024
GMC,GMC,GMC-M58,Yukon XL,27/08/2024
Acu,Acura,Acu-M59,ILX,28/08/2024
Acu,Acura,Acu-M60,MDX,29/08/2024
Acu,Acura,Acu-M61,NSX,30/08/2024
Acu,Acura,Acu-M62,RDX,31/08/2024
Acu,Acura,Acu-M63,TLX,01/09/2024
Hon,Honda,Hon-M64,Accord,02/09/2024
Hon,Honda,Hon-M65,Civic,03/09/2024
Hon,Honda,Hon-M66,CR-V,04/09/2024
Hon,Honda,Hon-M67,Insight,05/09/2024
Hon,Honda,Hon-M68,Odyssey,06/09/2024
Hon,Honda,Hon-M69,Passport,07/09/2024
Hon,Honda,Hon-M70,Pilot,08/09/2024
Hon,Honda,Hon-M71,Ridgeline,09/09/2024
Hyu,Hyundai,Hyu-M72,Elantra,10/09/2024
Hyu,Hyundai,Hyu-M73,Santa Fe,11/09/2024
Hyu,Hyundai,Hyu-M74,,12/09/2024
Hyu,Hyundai,Hyu-M75,Sonata,13/09/2024
Kia,Kia,Kia-M76,Optima,14/09/2024
Kia,Kia,Kia-M77,Sorento,15/09/2024
Kia,Kia,Kia-M78,Telluride,16/09/2024
Inf,Infiniti,Inf-M79,QX60,17/09/2024
Nis,Nissan,Nis-M80,Altima,18/09/2024
Nis,Nissan,Nis-M81,,19/09/2024
Nis,Nissan,Nis-M82,Frontier,20/09/2024
Nis,Nissan,Nis-M83,Leaf,21/09/2024
Nis,Nissan,Nis-M84,Maxima,22/09/2024
Nis,Nissan,Nis-M85,Murano,23/09/2024
Nis,Nissan,Nis-M86,NV,24/09/2024
Nis,Nissan,Nis-M87,Pathfinder,25/09/2024
Nis,Nissan,Nis-M88,Rogue,26/09/2024
Nis,Nissan,Nis-M89,Titan,27/09/2024
Riv,Rivian,Riv-M90,R1S,28/09/2024
Riv,Rivian,Riv-M91,R1T,29/09/2024
Sub,Subaru,Sub-M92,Ascent,30/09/2024
Sub,Subaru,Sub-M93,Impreza,01/10/2024
Sub,Subaru,Sub-M94,Legacy,02/10/2024
Sub,Subaru,Sub-M95,Outback,03/10/2024
Tes,Tesla,Tes-M96,Model 3,04/10/2024
Tes,Tesla,Tes-M97,Model S,05/10/2024
Tes,Tesla,Tes-M98,Model X,06/10/2024
Lex,Lexus,Lex-M99,ES,07/10/2024
Toy,Toyota,Toy-M100,Avalon,08/10/2024
Toy,Toyota,Toy-M101,Camry,09/10/2024
Toy,Toyota,Toy-M102,Corolla,10/10/2024
Toy,Toyota,Toy-M103,Highlander,11/10/2024
Toy,Toyota,Toy-M104,Sequoia,12/10/2024
Toy,Toyota,Toy-M105,Sienna,13/10/2024
Toy,Toyota,Toy-M106,Tacoma,14/10/2024
Toy,Toyota,Toy-M107,Tundra,15/10/2024
Vol,Volkswagen,Vol-M108,Atlas,16/10/2024
Vol,Volkswagen,Vol-M109,Passat,17/10/2024
Vol,Volvo,Vol-M110,S60,18/10/2024
Agr,Agrale,Agr-M111,A7500,19/10/2024
Agr,Agrale,Agr-M112,A8700,20/10/2024
Agr,Agrale,Agr-M113,A10000,21/10/2024
Che,Chevrolet,Che-M114,Cruze,22/10/2024
Cit,Citroën,Cit-M115,C4L,23/10/2024
Cit,Citroën,Cit-M116,Berlingo,24/10/2024
Fia,Fiat,Fia-M117,Palio,25/10/2024
